acl_0	data_type	updated_datetime	created_datetime	file_name	md5sum	data_format	type	submitter_id	access	state	file_id	data_category	file_size	state_comment
open	Biospecimen Supplement	2016-09-06T17:52:40.128502-05:00	2016-05-04T09:22:04.750190-05:00	nationwidechildrens.org_biospecimen.TCGA-GM-A3NW.xml	b38a3c8d2c1b348d1b17b25cae385211	BCR XML	biospecimen_supplement		open	live	c59dc5f8-92f0-496a-a0b9-a3e65e9dc644	Biospecimen	52291	
open	Biospecimen Supplement	2016-09-06T17:52:40.128502-05:00	2016-05-04T09:02:11.745460-05:00	nationwidechildrens.org_biospecimen.TCGA-A1-A0SN.xml	a29fb8163a0b594987c37a79285d72d1	BCR XML	biospecimen_supplement		open	live	1a7baa21-8603-42a9-a6da-f08bb9ddf96d	Biospecimen	60054	
open	Clinical Supplement	2016-09-14T11:25:45.790428-05:00	2016-05-04T09:14:31.252244-05:00	nationwidechildrens.org_clinical.TCGA-B6-A0RI.xml	0cc12bc54e03798cec1aac69047802df	BCR XML	clinical_supplement		open	live	138a6e5b-f643-41c8-a2d9-f10a8c06119a	Clinical	51915	
open	Clinical Supplement	2016-09-14T11:26:23.131575-05:00	2016-05-04T09:17:20.972588-05:00	nationwidechildrens.org_clinical.TCGA-D8-A1XA.xml	17d7379b8fe07db376c906bc2a487b9e	BCR XML	clinical_supplement		open	live	f1227117-9f6b-4301-a601-8d75bf2b36d6	Clinical	55909	
open	Clinical Supplement	2016-09-14T11:22:37.399574-05:00	2016-05-04T08:47:12.565796-05:00	nationwidechildrens.org_clinical.TCGA-PE-A5DC.xml	5aaa7fdbac0e69ce0baa61f96bd7b8ed	BCR XML	clinical_supplement		open	live	5d9350de-5ff2-4ad6-aff3-aaa1404cdc44	Clinical	45733	
open	Biospecimen Supplement	2016-09-06T17:52:40.128502-05:00	2016-05-04T09:04:46.050974-05:00	nationwidechildrens.org_biospecimen.TCGA-E2-A1II.xml	cfe072a3b67f45885e643ef8f7dd48ea	BCR XML	biospecimen_supplement		open	live	1758e469-b837-4db0-8a4f-b570182f7692	Biospecimen	73627	
open	Biospecimen Supplement	2016-09-06T17:52:40.128502-05:00	2016-05-04T08:55:34.433893-05:00	nationwidechildrens.org_biospecimen.TCGA-AO-A125.xml	c58be76d693af855ce16016883578c39	BCR XML	biospecimen_supplement		open	live	7fbeff97-1c39-490c-bf04-9a4abdf70737	Biospecimen	60064	
open	Clinical Supplement	2016-09-14T11:27:31.075170-05:00	2016-05-04T08:59:40.610900-05:00	nationwidechildrens.org_clinical.TCGA-A2-A0YG.xml	e17bb44b38971333f2ed110c98459ecd	BCR XML	clinical_supplement		open	live	ffb3ff87-9399-4c17-b14c-64e744f6d0fb	Clinical	93020	
open	Biospecimen Supplement	2016-09-06T17:52:40.128502-05:00	2016-05-04T09:12:58.540922-05:00	nationwidechildrens.org_biospecimen.TCGA-AR-A24O.xml	ba6b271a8a2e320bf10d0441c8620af3	BCR XML	biospecimen_supplement		open	live	649e378c-21d0-44ef-9689-72d40c744cd8	Biospecimen	58921	
open	Biospecimen Supplement	2016-09-06T17:52:40.128502-05:00	2016-05-04T09:03:41.919655-05:00	nationwidechildrens.org_biospecimen.TCGA-E2-A1IG.xml	8f61df5e3980f2859b61ab05eb98f2d5	BCR XML	biospecimen_supplement		open	live	389e2509-e832-4fdd-9b99-510ae4c91c52	Biospecimen	77685	
