analysis_metadata_read_groups_2_sequencing_center	cases_0_samples_0_sample_type	file_name	analysis_metadata_read_groups_0_sequencing_center	cases_0_samples_1_portions_0_analytes_0_aliquots_0_submitter_id	file_id	cases_0_samples_1_sample_type	cases_0_samples_0_portions_0_analytes_0_aliquots_0_submitter_id	analysis_metadata_read_groups_1_sequencing_center
	Blood Derived Normal	4dd5ba61-80ac-440f-aced-ce0d3d468f6b.vep.reheader.vcf.gz		TCGA-AR-A5QP-01A-11D-A28B-09	4dd5ba61-80ac-440f-aced-ce0d3d468f6b	Primary Tumor	TCGA-AR-A5QP-10A-01D-A28E-09	
	Primary Tumor	GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_D08_760366.grch38.seg.txt			aba8283e-4cbf-4054-84b8-14523872b111		TCGA-D8-A140-01A-11D-A111-01	
	Primary Tumor	2a84193a-3d0a-4b2d-a53c-a2a98ba09ab6.vep.reheader.vcf.gz		TCGA-E2-A15C-10A-01D-A12B-09	2a84193a-3d0a-4b2d-a53c-a2a98ba09ab6	Blood Derived Normal	TCGA-E2-A15C-01A-31D-A12B-09	
	Primary Tumor	isoforms.quantification.txt			b969347a-eaab-491d-84e1-f2f73627fa12		TCGA-EW-A1PE-01A-11R-A143-13	
	Blood Derived Normal	COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218.grch38.seg.txt			fbc381a8-ff6e-4837-97c2-3d1244d0a473		TCGA-AN-A0FS-10A-01D-A037-01	
	Primary Tumor	COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_A04_667098.nocnv_grch38.seg.txt			96569882-c360-4bd9-ae92-aefb0a170092		TCGA-BH-A0E6-01A-11D-A036-01	
	Primary Tumor	isoforms.quantification.txt			3c132ab0-474a-4826-95da-9522e2796884		TCGA-E2-A14U-01A-11R-A22I-13	
	Primary Tumor	0c72d5dc-ce61-4645-9164-6cb4389b77d0_gdc_realn_rehead.bam	UNC		834f9a5e-4fc9-4564-99a6-ef4abe6f5d46		TCGA-GM-A3NY-01A-11R-A21T-07	
	Primary Tumor	MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C02_1320298.grch38.seg.txt			858a700e-12ed-4d61-a76b-0791185967b9		TCGA-MS-A51U-01A-31D-A25N-01	
	Primary Tumor	d966cb7a-7cea-44e3-81a6-5d3a371936dc.vcf		TCGA-A2-A0ST-10A-01D-A099-09	d966cb7a-7cea-44e3-81a6-5d3a371936dc	Blood Derived Normal	TCGA-A2-A0ST-01A-12D-A099-09	
	Primary Tumor	1bd9af99954e9edc581d150d5eb921c1_gdc_realn.bam	WUGSC		af5085c1-5b4e-4b88-9f5f-3c049cdd981f		TCGA-GM-A2DK-01A-21D-A17W-09	
	Primary Tumor	jhu-usc.edu_BRCA.HumanMethylation27.2.lvl-3.TCGA-B6-A0IP-01A-11D-A032-05.gdc_hg38.txt			c12c0afc-b94b-424d-afe9-2e8dcc211302		TCGA-B6-A0IP-01A-11D-A032-05	
	Blood Derived Normal	2e057ca9-6e4a-4b9a-bf99-a18da330d4ea.vep.reheader.vcf.gz		TCGA-BH-A8G0-01A-11D-A351-09	2e057ca9-6e4a-4b9a-bf99-a18da330d4ea	Primary Tumor	TCGA-BH-A8G0-10A-01D-A351-09	
